field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulf flounder,"flounder, gulf",Paralichthys albigutta,Paralichthyidae,Pleuronectiformes,Pisces,Par alb,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summer flounder,"flounder, summer",Paralichthys dentatus,Paralichthyidae,Pleuronectiformes,Pisces,Par den,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern flounder,"flounder, southern",Paralichthys lethostigma,Paralichthyidae,Pleuronectiformes,Pisces,Par let,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fourspot flounder,"flounder, fourspot",Paralichthys oblongus,Paralichthyidae,Pleuronectiformes,Pisces,Par obl,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paralichthys,flounder spp.,Paralichthys spp.,Paralichthyidae,Pleuronectiformes,Pisces,Par spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flounder,flounder spp.,,Paralichthyidae,Pleuronectiformes,Pisces,Paralichthyidae,,,specifically for un-ID flounder that are definitively not paralichthys,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow perch,"perch, yellow ",Perca flavescens,Percidae,Perciformes,Pisces,Per fla,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perch,"perch, unid spp.",,Percidae,Perciformes,Pisces,Percidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosquito fish,mosquito fish,Gambusia affinis,Poeciliidae,Cyprinodontiformes,Pisces,Gam aff,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eastern mosquito,"mosquitofish, eastern",Gambusia holbrooki,Poeciliidae,Cyprinodontiformes,Pisces,Gam hol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gambusia,gambusia,Gambusia spp.,Poeciliidae,Cyprinodontiformes,Pisces,Gamb spp,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sailfin molly,sailfin molly,Poecilia latipinna,Poeciliidae,Cyprinodontiformes,Pisces,Poe lat,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic threadfin,"threadfin, atlantic",Polydactylus octonemus,Polynemidae,Perciformes,Pisces,Pol oct,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
threadfin,threadfin spp.,polydactylus spp.,Polynemidae,Perciformes,Pisces,Pol spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergeant major,sergeant major,Abudefduf saxatilis,Pomacentrinae,Perciformes,Pisces,Abu sax,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluefish,bluefish,Pomatomus saltatrix,Pomatomidae,Perciformes,Pisces,Pom sal,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cobia,cobia,Rachycentron canadum,Rachycentridae,Perciformes,Pisces,Rac can,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emerald parrotfish,"parrotfish, emerald",Nicholsina usta,Scaridae,Perciformes,Pisces,Nic ust,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrot fish,"parrot fish, unid spp.",,Scaridae,Perciformes,Pisces,Scaridae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucktooth parrotfish,"parrotifish, bucktooth",Sparisoma radians,Scaridae,Perciformes,Pisces,Spa rad,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoplight parrotfish,"parrotfish, stoplight",Sparisoma viridae,Scaridae,Perciformes,Pisces,Spa vir,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver perch,"perch, silver ",Bairdiella chrysoura,Sciaenidae,Perciformes,Pisces,Bai chr,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white sea trout,"sea trout, white",Cynoscion arenarius,Sciaenidae,Perciformes,Pisces,Cyn are,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speckled sea trout,"sea trout, speckled",Cynoscion nebulosus,Sciaenidae,Perciformes,Pisces,Cyn neb,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spot,spot,Leiostomus xanthurus,Sciaenidae,Perciformes,Pisces,Lei xan,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kingfish,kingfish spp.,Menticirrhus spp.,Sciaenidae,Perciformes,Pisces,Ment spp,,X,aka: gulf or southern kingfish,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
croaker,"croaker, atlantic",Micropogonias undulatus,Sciaenidae,Perciformes,Pisces,Mic und,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black drum,"drum, black",Pogonias cromis,Sciaenidae,Perciformes,Pisces,Pog cro,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red drum,"drum, red",Sciaenops ocellatus,Sciaenidae,Perciformes,Pisces,Sci oce,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drum,"drum/croaker, unid spp.",,Sciaenidae,Perciformes,Pisces,Sciaenidae,,X,drum or croaker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sciaenidae, juv","sciaenidae, juv",,Sciaenidae,Perciformes,Pisces,Sciaenidae juv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spanish mackerel,"mackerel, spanish ",Scomberomorus maculatus,Scombridae,Perciformes,Pisces,Sco mac,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mackerel,mackerel spp.,Scomberomorus spp.,Scombridae,Perciformes,Pisces,Sco spp,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotted scorpionfish,"scorpionfish, spotted",Scorpaena plumieri,Scorpaenidae,Scorpaeniformes,Pisces,Sco plu,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scorpionfish,"scorpionfish, unid spp.",,Scorpaenidae,Scorpaeniformes,Pisces,Scorpaenidae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank sea bass,"sea bass, bank",Centropristis ocyurus,Serranidae,Perciformes,Pisces,Cen ocy,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock sea bass,"sea bass, rock",Centropristis philadelphica ,Serranidae,Perciformes,Pisces,Cen phi,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea bass,sea bass,Centropristis spp.,Serranidae,Perciformes,Pisces,Cen spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black sea bass,"sea bass, black ",Centropristis striata,Serranidae,Perciformes,Pisces,Cen str,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sand perch,"perch, sand ",Diplectrum formosum,Serranidae,Perciformes,Pisces,Dip for,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red grouper,"grouper, red ",Epimephelus morio,Serranidae,Perciformes,Pisces,Epi mor,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black grouper,"grouper, black ",Mycteroperca bonaci,Serranidae,Perciformes,Pisces,Myc bon,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gag,"grouper, gag",Mycteroperca microlepis,Serranidae,Perciformes,Pisces,Myc mic,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comb grouper,"grouper, comb",Mycteroperca rubra,Serranidae,Perciformes,Pisces,Myc rub,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygmy sea bass,"sea bass, pygmy",Serraniculus pumilio,Serranidae,Perciformes,Pisces,Ser pum,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belted sandfish,"sandfish, belted",Serranus subligarius,Serranidae,Perciformes,Pisces,Ser sub,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grouper,"grouper, unid spp.",,Serranidae,Perciformes,Pisces,Serranidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheepshead,sheepshead,Archosargus probatocephalus,Sparidae,Perciformes,Pisces,Arc pro,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spottail,"pinfish, spottail",Diplodus holbrooki,Sparidae,Perciformes,Pisces,Dip hol,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinfish,pinfish,Lagodon rhomboides,Sparidae,Perciformes,Pisces,Lag rho,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longspine porgy,"porgy, longspine",Stenotomus caprinus,Sparidae,Perciformes,Pisces,Ste cap,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great barracuda,"barracuda, great ",Sphyraena barracuda,Sphyraenidae,Perciformes,Pisces,Sph bar,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern sennet,"sennet, northern",Sphyraena borealis,Sphyraenidae,Perciformes,Pisces,Sph bor,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern sennet,"sennet, southern ",Sphyraena picudilla,Sphyraenidae,Perciformes,Pisces,Sph pic,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sennet,sennet spp.,Sphyraena spp.,Sphyraenidae,Perciformes,Pisces,Sphy spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unid sphyraenidae,unid sphyraenid,,Sphyraenidae,Perciformes,Pisces,Sphyraenidae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gulf butterfish,"butterfish, gulf",Peprilus burti,Stromateidae,Perciformes,Pisces,Pep bur,,X,added to species list and trawl sheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic butterfish,"butterfish, atlantic",Peprilus triacanthus,Stromateidae,Perciformes,Pisces,Pep tri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seahorse,seahorse spp.,Hippocampus spp.,Syngnathidae,Sygnathiformes,Pisces,Hippoc spp,,X,added to trawl datasheet from GOM data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dusky pipfish,"pipefish, dusky",Syngnathus floridae,Syngnathidae,Syngnathiformes,Pisces,Syn flo,,X,added to trawl datasheet from crfl landscape data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pipefish,pipefish spp.,Syngnathus spp.,Syngnathidae,Syngnathiformes,Pisces,Syn spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lizardfish,"lizardfish, inshore",Synodus foetens,Synodontidae,Aulopiformes,Pisces,Syn foe,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern puffer,"puffer, northern",Sphoeroides maculatus,Tetraodontidae,Tetraodontiformes,Pisces,Sph mac,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puffer,puffer spp.,Sphoeroides spp.,Tetraodontidae,Tetraodontiformes,Pisces,Spho spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dogfish,"dogfish, smooth ",Mustelus canis,Triakidae,Elasmobranchii,Pisces,Mus can,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutlassfish,cutlassfish spp.,,Trichiuridae,Perciformes,Pisces,Trichiuridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prionotus sea robin,searobin spp.,Prionotus spp.,Triglidae,Scorpaeniformes,Pisces,Pri spp,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bighead searobin,"searobin, bighead ",Prionotus tribulus,Triglidae,Scorpaeniformes,Pisces,Pri tri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea robin,sea robin,,Triglidae,Scorpaeniformes,Pisces,Triglidae,,,NOT ADDED TO MASTER YET,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northern stargazer,"stargazer, northern ",Astroscopus guttatus,Uranoscopidae,Perciformes,Pisces,Ast gut,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stargazer,stargazer,,Uranoscopidae,Perciformes,Pisces,Uranoscopidae,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unid perciform,"fish, perciform (order) unid spp.",,,Perciformes,Pisces,Perciformes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pisces,UnID Fish,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unid fish,"fish, un-id spp.",,,,Pisces,UnID LarvFish,,,UnID Postlarval Fish added to Master trawl data,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blacktip,"shark, blacktip",Carcharhinus limbatus,Carcharhinidae,Carcharhiniformes,Elasmobranch,Car lim,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic sharpnose,"shark, atlantic sharpnose",Rhizoprionodon terraenovae,Carcharhinidae,Carcharhiniformes,Elasmobranch,Rhi ter,,X,added to trawl datasheet from GOM data,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southern ray,"stingray, southern",Dasyatis americana,Dasyatidae,Myliobatiformes,Elasmobranch,Das ame,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roughtail ray,"stingray, roughtail ",Dasyatis centroura,Dasyatidae,Myliobatiformes,Elasmobranch,Das cen,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic ray,"stingray, atlantic",Dasyatis sabina,Dasyatidae,Myliobatiformes,Elasmobranch,Das sab,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bluntnose ray,"stingray, bluntnose ",Dasyatis say,Dasyatidae,Myliobatiformes,Elasmobranch,Das say,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stingray,stingray spp.,Dasyatis spp.,Dasyatidae,Myliobatiformes,Elasmobranch,Das spp,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly ray,"stingray, butterfly ",Gymnura micrura,Gymnuridae,Myliobatiformes,Elasmobranch,Gym mic,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bullnose ray,"stingray, bullnose",Myliobatis freminvillii,Myliobatidae,Myliobatiformes,Elasmobranch,Myl fre,,X,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cownose ray,"stingray, cownose",Rhinoptera bonasus,Rhinooteridae,Myliobatiformes,Elasmobranch,Rhi bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breif squid,"squid, breif ",Lolliguncula brevis,Loliginidae,Teuthida ,Cephalopod,Lol bre,,X,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shortfin squid,"squid, shortfin",Illex illecebrosus,Ommastrephidae,Teuthida,Cephalopod,Ill ill,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squid,"squid, unid spp.",,,Teuthida,Cephalopod,Teuthida,,X,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true crab,"crab, true unid spp.",,Brachyura [infraorder],Decapoda,Crustacean_crab,Brachyura,,,crab,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock crab,"crab, atlantic rock",Cancer irroratus,Cancridae,Decapoda,Crustacean_crab,Can irr,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thinstripe hermit crab,"crab, thinstripe hermit ",Clibanarius vittatus,Diogenidae,Decapoda,Crustacean_crab,Cli vit,,,aka: striped hermit,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longnose spider crab,"crab, longnose spider",Libinia dubia,Epialtidae,Decapoda,Crustacean_crab,Lib dub,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libinia emarginata,"crab, common spider ",Libinia emarginata,Epialtidae,Decapoda,Crustacean_crab,Lib ema,,,aka: Nine-spined Spider Crab (common),4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libinia ferreirae,"crab, spider sp.",Libinia ferreirae,Epialtidae,Decapoda,Crustacean_crab,Lib fer,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spider crab,"crab, spider/decorator spp.",Libinia spp.,Epialtidae,Decapoda,Crustacean_crab,Lib spp,,X,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horseshoe crab,"crab, horseshoe unid spp.",,Limulidae,Xiphosurida,Crustacean_crab,Limulidae,,X,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stone crab,"crab, stone ",Menippe mercenaria,Menippidae,Decapoda,Crustacean_crab,Men mer,,X,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green clinging crab,"crab, green clinging ",Mithraculus sculptus,Mithracidae,Decapoda,Crustacean_crab,Mit scu,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiny lobster,"lobster, spiny spp.",Panulirus spp.,Nephropsidae,Decapoda,Crustacean_crab,Pan spp,,X,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic sand fiddler crab,"crab, atlantic sand fiddler ",Leptuca pugilator,Ocypodidae,Decapoda,Crustacean_crab,Lep pug,,,aka: Uca pugilator,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mudflat fiddler crab,"crab, mudflat fiddler ",Minuca rapax,Ocypodidae,Decapoda,Crustacean_crab,Min rap,,,aka: Uca pugnax,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiddler crab,"crab, fiddler ",Uca spp.,Ocypodidae,Decapoda,Crustacean_crab,Uca spp,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghost crab,"crab, ghost unid spp.",,Ocypodinae,Decapoda,Crustacean_crab,Ocypodinae,,,"crab, ghost/common shore spp.",4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dwarf hermit crab,"crab, dwarf hermit",Pagurus annulipes,Paguroidea,Decapoda,Crustacean_crab,Pag ann,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
long-clawed hermit crab,"crab, long-clawed hermit",Pagurus longicarpus,Paguroidea,Decapoda,Crustacean_crab,Pag lon,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flatclaw hermit crab,"crab, flatclaw hermit",Pagurus pollicaris,Paguroidea,Decapoda,Crustacean_crab,Pag pol,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagurus,"crab, hermit spp/",Pagurus spp.,Paguroidea,Decapoda,Crustacean_crab,Pag spp,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermit crab,"crab, hermit unid spp.",,Paguroidea,Decapoda,Crustacean_crab,Paguroidae,,X,Pag ,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyspanopeus,"crab, say mud",Dyspanopeus sayi,Panopeidae,Decapoda,Crustacean_crab,Dys say,,,"aka: Neopanopeus sayi, black-fingered mud crab (2/3)",4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eurypanopeus,"crab, depressed mud",Eurypanopeus depressus,Panopeidae,Decapoda,Crustacean_crab,Eur dep,,,"aka: flatback mud crab, black-fingered mud crab (1/3)",4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panopeus,"crab, atlantic mud",Panopeus herbstii,Panopeidae,Decapoda,Crustacean_crab,Pan her,,X,aka: black-fingered mud crab (3/3),4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mud crab,"crab, mud unid spp.",,Panopeidae,Decapoda,Crustacean_crab,Panopeidae,,X,Panopeid sp.; aka: Xanthidae,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhithropanopeus,"crab, white fingered mud ",Rhithropanopeus harrisii,Panopeidae,Decapoda,Crustacean_crab,Rhi har,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smooth elbow crab,"crab, smooth elbow",Heterocrypta granulata,Parthenopidae,Decapoda,Crustacean_crab,Het gra,,,"sm crab, triangle carapace",4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilumnus,"crab, spineback hairy ",Pilumnus sayi,Pilumnidae,Decapoda,Crustacean_crab,Pil say,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tube pea crab,"crab, tube pea ",Pinnixa chaetopterana,Pinnotheridae,Decapoda,Crustacean_crab,Pin cha,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnixa cylindrica,"crab, pea sp.",Pinnixa cylindrica,Pinnotheridae,Decapoda,Crustacean_crab,Pin cyl,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elongate crab,"crab, elongate ",Pinnixa retinens,Pinnotheridae,Decapoda,Crustacean_crab,Pin ret,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnixa sayana,"crab, pea sp.",Pinnixa sayana,Pinnotheridae,Decapoda,Crustacean_crab,Pin say,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnixa,"crab, pea spp.",Pinnixa spp.,Pinnotheridae,Decapoda,Crustacean_crab,Pin spp,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyster crab,"crab, oyster ",Zaops ostreus,Pinnotheridae,Decapoda,Crustacean_crab,Zao ost,,,aka: Pinnotheres ostreus,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megalobrachium soriatum,crab sp.,Megalobrachium soriatum,Porcellanidae,Decapoda,Crustacean_crab,Meg sor,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blotched swimming crab,"crab, blotched swimming ",Achelous spinimanus,Portunidae,Decapoda,Crustacean_crab,Ach spi,,X,aka: Portunus spinimanus,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speckled swimming crab,"crab, speckled swimming ",Arenaeus cribrarius,Portunidae,Decapoda,Crustacean_crab,Are cri,,X, ,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue crab,"crab, blue ",Callinectes sapidus,Portunidae,Decapoda,Crustacean_crab,Cal sap,,X,"crab, true blue ",4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callinectes similis,"crab, lesser blue",Callinectes similis,Portunidae,Decapoda,Crustacean_crab,Cal sim,,,,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
